STATION,STATION_NAME,DATE,QGAG,QPCP
COOP:123418,GOSHEN 3 SW IN US,20090101 00:15,-9999,0
COOP:123418,GOSHEN 3 SW IN US,20090101 22:45,0.77,-9999
COOP:123418,GOSHEN 3 SW IN US,20090102 15:30,0.77,-9999
COOP:123418,GOSHEN 3 SW IN US,20090103 02:30,0,-9999
COOP:123418,GOSHEN 3 SW IN US,20090103 03:00,0.03,-9999
COOP:123418,GOSHEN 3 SW IN US,20090103 03:30,0.07,-9999
COOP:123418,GOSHEN 3 SW IN US,20090103 15:45,0,-9999
COOP:123418,GOSHEN 3 SW IN US,20090103 16:15,0.02,-9999
COOP:123418,GOSHEN 3 SW IN US,20090103 16:45,0.03,-9999
COOP:123418,GOSHEN 3 SW IN US,20090107 00:30,0.78,0.1
COOP:123418,GOSHEN 3 SW IN US,20090109 12:30,0.79,0.1
COOP:123418,GOSHEN 3 SW IN US,20090109 14:15,0.8,0.1
COOP:123418,GOSHEN 3 SW IN US,20090110 01:30,0.81,0.1
COOP:123418,GOSHEN 3 SW IN US,20090110 11:00,0.82,0.1
COOP:123418,GOSHEN 3 SW IN US,20090110 16:15,0.83,0.1
COOP:123418,GOSHEN 3 SW IN US,20090113 01:15,0.84,0.1
COOP:123418,GOSHEN 3 SW IN US,20090113 03:30,0.85,0.1
COOP:123418,GOSHEN 3 SW IN US,20090113 12:00,0.86,0.1
COOP:123418,GOSHEN 3 SW IN US,20090113 23:30,0.85,-9999
COOP:123418,GOSHEN 3 SW IN US,20090114 09:15,0.86,0.1
COOP:123418,GOSHEN 3 SW IN US,20090114 13:45,0.87,0.1
COOP:123418,GOSHEN 3 SW IN US,20090115 09:15,0.88,0.1
COOP:123418,GOSHEN 3 SW IN US,20090116 05:00,0.88,-9999
COOP:123418,GOSHEN 3 SW IN US,20090117 01:00,0.88,-9999
COOP:123418,GOSHEN 3 SW IN US,20090120 11:30,0.88,-9999
COOP:123418,GOSHEN 3 SW IN US,20090125 21:30,0.87,-9999
COOP:123418,GOSHEN 3 SW IN US,20090126 15:45,0.87,-9999
COOP:123418,GOSHEN 3 SW IN US,20090128 03:15,0.88,0.1
COOP:123418,GOSHEN 3 SW IN US,20090128 10:00,0.89,0.1
COOP:123418,GOSHEN 3 SW IN US,20090201 00:15,0.89,0
COOP:123418,GOSHEN 3 SW IN US,20090202 04:15,0.89,-9999
COOP:123418,GOSHEN 3 SW IN US,20090202 04:30,999.99,999.99
COOP:123418,GOSHEN 3 SW IN US,20090202 06:15,999.99,999.99
COOP:123418,GOSHEN 3 SW IN US,20090202 07:15,0.89,-9999
COOP:123418,GOSHEN 3 SW IN US,20090202 11:15,0.89,-9999
COOP:123418,GOSHEN 3 SW IN US,20090202 14:15,0.88,-9999
COOP:123418,GOSHEN 3 SW IN US,20090202 23:00,0.89,0.1
COOP:123418,GOSHEN 3 SW IN US,20090209 23:15,0.9,0.1
COOP:123418,GOSHEN 3 SW IN US,20090210 07:00,0.89,-9999
COOP:123418,GOSHEN 3 SW IN US,20090210 19:45,0.9,0.1
COOP:123418,GOSHEN 3 SW IN US,20090210 20:45,0.91,0.1
COOP:123418,GOSHEN 3 SW IN US,20090210 22:00,0.92,0.1
COOP:123418,GOSHEN 3 SW IN US,20090210 22:15,0.93,0.1
COOP:123418,GOSHEN 3 SW IN US,20090210 22:45,0.94,0.1
COOP:123418,GOSHEN 3 SW IN US,20090210 23:45,0.95,0.1
COOP:123418,GOSHEN 3 SW IN US,20090211 04:15,0.96,0.1
COOP:123418,GOSHEN 3 SW IN US,20090211 04:45,0.97,0.1
COOP:123418,GOSHEN 3 SW IN US,20090211 05:15,0.98,0.1
COOP:123418,GOSHEN 3 SW IN US,20090211 05:45,0.99,0.1
COOP:123418,GOSHEN 3 SW IN US,20090211 11:00,1,0.1
COOP:123418,GOSHEN 3 SW IN US,20090211 11:15,1.01,0.1
COOP:123418,GOSHEN 3 SW IN US,20090213 09:00,1,-9999
COOP:123418,GOSHEN 3 SW IN US,20090213 17:15,1.01,0.1
COOP:123418,GOSHEN 3 SW IN US,20090217 23:15,1.02,0.1
COOP:123418,GOSHEN 3 SW IN US,20090217 23:30,1.03,0.1
COOP:123418,GOSHEN 3 SW IN US,20090218 00:15,1.05,0.1
COOP:123418,GOSHEN 3 SW IN US,20090218 02:30,1.06,0.1
COOP:123418,GOSHEN 3 SW IN US,20090221 00:45,1.07,0.1
COOP:123418,GOSHEN 3 SW IN US,20090221 02:15,1.08,0.1
COOP:123418,GOSHEN 3 SW IN US,20090221 23:30,1.09,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 04:30,1.1,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 05:45,1.11,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 06:30,1.12,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 07:00,1.13,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 09:45,1.14,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 12:30,1.15,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 13:15,1.16,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 13:30,1.17,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 13:45,1.19,0.2
COOP:123418,GOSHEN 3 SW IN US,20090226 14:00,1.2,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 14:45,1.21,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 15:30,1.22,0.1
COOP:123418,GOSHEN 3 SW IN US,20090226 15:45,1.23,0.1
COOP:123418,GOSHEN 3 SW IN US,20090227 03:30,1.22,-9999
COOP:123418,GOSHEN 3 SW IN US,20090228 21:00,1.22,-9999
COOP:123418,GOSHEN 3 SW IN US,20090228 21:15,999.99,999.99
COOP:123418,GOSHEN 3 SW IN US,20090301 00:15,0,999.99
COOP:123418,GOSHEN 3 SW IN US,20090301 00:30,999.99,-9999
COOP:123418,GOSHEN 3 SW IN US,20090301 07:30,999.99,999.99
COOP:123418,GOSHEN 3 SW IN US,20090301 08:15,4.22,-9999
COOP:123418,GOSHEN 3 SW IN US,20090301 10:15,4.2,-9999
COOP:123418,GOSHEN 3 SW IN US,20090303 13:15,4.22,-9999
COOP:123418,GOSHEN 3 SW IN US,20090305 15:30,4.23,-9999
COOP:123418,GOSHEN 3 SW IN US,20090306 15:00,4.23,-9999
COOP:123418,GOSHEN 3 SW IN US,20090306 20:45,4.22,-9999
COOP:123418,GOSHEN 3 SW IN US,20090307 07:30,4.23,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 19:30,4.24,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 20:00,4.25,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 20:30,4.26,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 20:45,4.27,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 21:00,4.28,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 21:45,4.29,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 22:45,4.3,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 03:00,4.31,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 04:00,4.32,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 05:00,4.33,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 05:30,4.34,0.1
