STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/1/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/2/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/3/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/4/2009,0.03,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/5/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/6/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/7/2009,0.14,1.9,1.9,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/8/2009,0,0,1.6,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/9/2009,0.02,0.3,1.9,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/10/2009,0.21,2.2,4.1,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/11/2009,0.17,0.7,4.8,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/12/2009,0,0,4.6,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/13/2009,0.15,1.1,5.7,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/14/2009,0.08,0.6,6.3,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/15/2009,0.11,1.6,7.9,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/16/2009,0,0,7.3,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/17/2009,0,0,7.1,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/18/2009,0,0,6.8,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",1/19/2009,0,0,6.3,,,,,,,,,,,
