
Date / Time: Thu Mar 30 14:21:26 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 2
 - 10
 - 4
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 2.26354	PB: 2.26354	LB: 2.26354	GB: 2.26354	Conf: 0.810894	Pts: 110099
Particle (1):: Fit: 11.7296	PB: 11.7296	LB: 11.7296	GB: 11.7296	Conf: 0.852339	Pts: 110099
Particle (2):: Fit: 5.70961	PB: 5.70961	LB: 11.7296	GB: 11.7296	Conf: 0.591379	Pts: 55099
Particle (3):: Fit: 13.2426	PB: 13.2426	LB: 13.2426	GB: 13.2426	Conf: 0.984473	Pts: 110099
Particle (4):: Fit: 4.2409	PB: 4.2409	LB: 13.2426	GB: 13.2426	Conf: 0.408413	Pts: 55099
Particle (5):: Fit: 3.16053	PB: 3.16053	LB: 13.2426	GB: 13.2426	Conf: 0.587493	Pts: 55099
Particle (6):: Fit: 2.39907	PB: 2.39907	LB: 13.2426	GB: 13.2426	Conf: 0.422744	Pts: 55099
Particle (7):: Fit: 7.2366	PB: 7.2366	LB: 13.2426	GB: 13.2426	Conf: 0.4482	Pts: 70099
Particle (8):: Fit: 8.72319	PB: 8.72319	LB: 8.72319	GB: 13.2426	Conf: 0.369003	Pts: 75099
Particle (9):: Fit: 2.77601	PB: 2.77601	LB: 8.72319	GB: 13.2426	Conf: 0.277747	Pts: 55099
Particle (10):: Fit: 10.1768	PB: 10.1768	LB: 10.1768	GB: 13.2426	Conf: 0.885305	Pts: 85099
Particle (11):: Fit: 8.72101	PB: 8.72101	LB: 10.1768	GB: 13.2426	Conf: 0.355607	Pts: 55099
Particle (12):: Fit: 14.5239	PB: 14.5239	LB: 14.5239	GB: 14.5239	Conf: 0.391464	Pts: 110099
Particle (13):: Fit: 8.58211	PB: 8.58211	LB: 14.5239	GB: 14.5239	Conf: 0.958831	Pts: 55099
Particle (14):: Fit: 1.8626	PB: 1.8626	LB: 14.5239	GB: 14.5239	Conf: 0.787733	Pts: 55099
Particle (15):: Fit: 4.3609	PB: 4.3609	LB: 14.5239	GB: 14.5239	Conf: 0.831306	Pts: 60099
Particle (16):: Fit: 3.88449	PB: 3.88449	LB: 14.5239	GB: 14.5239	Conf: 0.988932	Pts: 55099
Particle (17):: Fit: 8.71165	PB: 8.71165	LB: 8.71165	GB: 14.5239	Conf: 0.690339	Pts: 75099
Particle (18):: Fit: 7.23761	PB: 7.23761	LB: 8.71165	GB: 14.5239	Conf: 0.387936	Pts: 55099
Particle (19):: Fit: 10.1677	PB: 10.1677	LB: 10.1677	GB: 14.5239	Conf: 0.904772	Pts: 85099
