
Date / Time: Thu Mar 30 23:50:48 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 10
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 25.9184	PB: 25.9184	LB: 25.9184	GB: 25.9184	Conf: 2	Pts: 110099
Particle (1):: Fit: 76.1769	PB: 76.1769	LB: 76.1769	GB: 76.1769	Conf: 0.584326	Pts: 110099
Particle (2):: Fit: 22.7763	PB: 22.7763	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55099
Particle (3):: Fit: 31.232	PB: 31.232	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 60099
Particle (4):: Fit: 31.7854	PB: 31.7854	LB: 76.1769	GB: 76.1769	Conf: 0.355886	Pts: 65099
Particle (5):: Fit: 25.9184	PB: 25.9184	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55099
Particle (6):: Fit: 25.9184	PB: 25.9184	LB: 31.7854	GB: 76.1769	Conf: 2	Pts: 55099
Particle (7):: Fit: 29.061	PB: 29.061	LB: 31.7854	GB: 76.1769	Conf: 1.25109	Pts: 65099
Particle (8):: Fit: 31.8653	PB: 31.8653	LB: 31.8653	GB: 76.1769	Conf: 0.652774	Pts: 85099
Particle (9):: Fit: 26.0671	PB: 26.0671	LB: 31.8653	GB: 76.1769	Conf: 1.11841	Pts: 55099
Particle (10):: Fit: 68.0556	PB: 68.0556	LB: 68.0556	GB: 76.1769	Conf: 1.85598	Pts: 95099
Particle (11):: Fit: 25.9472	PB: 25.9472	LB: 68.0556	GB: 76.1769	Conf: 0.814227	Pts: 55099
Particle (12):: Fit: 55.0792	PB: 55.0792	LB: 68.0556	GB: 76.1769	Conf: 0.901557	Pts: 60099
Particle (13):: Fit: 33.5929	PB: 33.5929	LB: 68.0556	GB: 76.1769	Conf: 2	Pts: 55099
Particle (14):: Fit: 3.67975	PB: 3.67975	LB: 68.0556	GB: 76.1769	Conf: 1.01354	Pts: 55099
Particle (15):: Fit: 31.232	PB: 31.232	LB: 55.0792	GB: 76.1769	Conf: 2	Pts: 60099
