
Date / Time: Fri Mar 31 01:51:27 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 9
Tests per train(min): 100
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 1.58223e-006	PB: 1.58223e-006	LB: 1.58223e-006	GB: 1.58223e-006	Conf: 1.84102	Pts: 110099
Particle (1):: Fit: 0.997572	PB: 0.997572	LB: 0.997572	GB: 0.997572	Conf: 1.7074	Pts: 110099
Particle (2):: Fit: 1.00756	PB: 1.00756	LB: 1.00756	GB: 1.00756	Conf: 1.98947	Pts: 110099
Particle (3):: Fit: 0.913194	PB: 0.913194	LB: 1.00756	GB: 1.00756	Conf: 1.96924	Pts: 55099
Particle (4):: Fit: 182.245	PB: 182.245	LB: 182.245	GB: 182.245	Conf: 0.799372	Pts: 110099
Particle (5):: Fit: 1.85703e-006	PB: 1.85703e-006	LB: 182.245	GB: 182.245	Conf: 1.61994	Pts: 55099
Particle (6):: Fit: 1.81584e-006	PB: 1.81584e-006	LB: 182.245	GB: 182.245	Conf: 2	Pts: 55099
Particle (7):: Fit: 0.928386	PB: 0.928386	LB: 182.245	GB: 182.245	Conf: 2	Pts: 65099
Particle (8):: Fit: 0.000336951	PB: 0.000336951	LB: 182.245	GB: 182.245	Conf: 1.8833	Pts: 55099
Particle (9):: Fit: 0.951003	PB: 0.951003	LB: 0.951003	GB: 182.245	Conf: 2	Pts: 75099
Particle (10):: Fit: 0.973567	PB: 0.973567	LB: 0.973567	GB: 182.245	Conf: 2	Pts: 80099
Particle (11):: Fit: 0.00305887	PB: 0.00305887	LB: 0.973567	GB: 182.245	Conf: 1.96613	Pts: 55099
Particle (12):: Fit: 1.70715e-006	PB: 1.70715e-006	LB: 0.973567	GB: 182.245	Conf: 1.94775	Pts: 55099
Particle (13):: Fit: 0.964644	PB: 0.964644	LB: 0.973567	GB: 182.245	Conf: 1.9041	Pts: 65099
Particle (14):: Fit: 0.985205	PB: 0.985205	LB: 0.985205	GB: 182.245	Conf: 1.84016	Pts: 100099
Particle (15):: Fit: 1.89049e-006	PB: 1.89049e-006	LB: 0.985205	GB: 182.245	Conf: 0.646587	Pts: 55099
Particle (16):: Fit: 166.706	PB: 166.706	LB: 166.706	GB: 182.245	Conf: 1.30092	Pts: 100099
Particle (17):: Fit: 2.00908e-009	PB: 2.00908e-009	LB: 166.706	GB: 182.245	Conf: 0.38558	Pts: 55099
Particle (18):: Fit: 1.81584e-006	PB: 1.81584e-006	LB: 166.706	GB: 182.245	Conf: 2	Pts: 60099
Particle (19):: Fit: 1.86325e-006	PB: 1.86325e-006	LB: 166.706	GB: 182.245	Conf: 2	Pts: 65099
Particle (20):: Fit: 1.79208e-006	PB: 1.79208e-006	LB: 166.706	GB: 182.245	Conf: 2	Pts: 55099
Particle (21):: Fit: 0.939701	PB: 0.939701	LB: 0.939701	GB: 182.245	Conf: 2	Pts: 75099
Particle (22):: Fit: 1.88772e-006	PB: 1.88772e-006	LB: 0.939701	GB: 182.245	Conf: 1.9774	Pts: 55099
Particle (23):: Fit: 1.79208e-006	PB: 1.79208e-006	LB: 0.939701	GB: 182.245	Conf: 2	Pts: 55099
Particle (24):: Fit: 0.967158	PB: 0.967158	LB: 0.967158	GB: 182.245	Conf: 0.744548	Pts: 90099
Particle (25):: Fit: 1.87149e-006	PB: 1.87149e-006	LB: 0.967158	GB: 182.245	Conf: 1.28707	Pts: 55099
Particle (26):: Fit: 0.967845	PB: 0.967845	LB: 0.967845	GB: 182.245	Conf: 1.10312	Pts: 100099
Particle (27):: Fit: 0.951173	PB: 0.951173	LB: 0.967845	GB: 182.245	Conf: 1.98504	Pts: 55099
Particle (28):: Fit: 1.74448e-006	PB: 1.74448e-006	LB: 0.967845	GB: 182.245	Conf: 2	Pts: 55099
Particle (29):: Fit: 0.996082	PB: 0.996082	LB: 0.996082	GB: 182.245	Conf: 2	Pts: 100099
Particle (30):: Fit: 1.88743e-006	PB: 1.88743e-006	LB: 0.996082	GB: 182.245	Conf: 1.94415	Pts: 55099
Particle (31):: Fit: 1.02984	PB: 1.02984	LB: 1.02984	GB: 182.245	Conf: 1.96797	Pts: 100099
Particle (32):: Fit: 0.934551	PB: 0.934551	LB: 1.02984	GB: 182.245	Conf: 1.98911	Pts: 55099
Particle (33):: Fit: 1.7683e-006	PB: 1.7683e-006	LB: 1.02984	GB: 182.245	Conf: 2	Pts: 55099
Particle (34):: Fit: 0.940273	PB: 0.940273	LB: 1.02984	GB: 182.245	Conf: 1.74211	Pts: 65099
Particle (35):: Fit: 1.55985e-006	PB: 1.55985e-006	LB: 1.02984	GB: 182.245	Conf: 1.68005	Pts: 55099
Particle (36):: Fit: 0.958259	PB: 0.958259	LB: 0.958259	GB: 182.245	Conf: 1.80076	Pts: 75099
Particle (37):: Fit: 1.80367e-006	PB: 1.80367e-006	LB: 0.958259	GB: 182.245	Conf: 1.985	Pts: 55099
Particle (38):: Fit: 1.7683e-006	PB: 1.7683e-006	LB: 0.958259	GB: 182.245	Conf: 2	Pts: 55099
Particle (39):: Fit: 128.841	PB: 128.841	LB: 128.841	GB: 182.245	Conf: 0.97795	Pts: 100099
Particle (40):: Fit: 2.01846e-009	PB: 2.01846e-009	LB: 128.841	GB: 182.245	Conf: 0.448085	Pts: 55099
Particle (41):: Fit: 1.35643e-006	PB: 1.35643e-006	LB: 128.841	GB: 182.245	Conf: 1.18701	Pts: 55099
Particle (42):: Fit: 0.000590423	PB: 0.000590423	LB: 128.841	GB: 182.245	Conf: 0.431551	Pts: 60099
Particle (43):: Fit: 1.00732	PB: 1.00732	LB: 128.841	GB: 182.245	Conf: 2	Pts: 65099
Particle (44):: Fit: 0.999646	PB: 0.999646	LB: 1.00732	GB: 182.245	Conf: 1.02998	Pts: 50099
Particle (45):: Fit: 1.01387	PB: 1.01387	LB: 1.01387	GB: 182.245	Conf: 1.81172	Pts: 75099
Particle (46):: Fit: 1.85023e-006	PB: 1.85023e-006	LB: 1.01387	GB: 182.245	Conf: 0.998357	Pts: 50099
Particle (47):: Fit: 1.74298e-006	PB: 1.74298e-006	LB: 1.01387	GB: 182.245	Conf: 1.97632	Pts: 50099
Particle (48):: Fit: 1.77965e-006	PB: 1.77965e-006	LB: 1.01387	GB: 182.245	Conf: 1.98314	Pts: 50099
Particle (49):: Fit: 0.973567	PB: 0.973567	LB: 182.245	GB: 182.245	Conf: 2	Pts: 50099
Global: 182.245 - Correct: 71% of 100 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.5108
  -- 1 : 2 = 0.2209
  -- 1 : 3 = 0.2224
  -- 1 : 4 = 0.5331
  -- 1 : 5 = 0.7786
  -- 1 : 6 = 0.3489
  -- 1 : 7 = 0.6213
  -- 1 : 8 = 0.7187
  -- 1 : 9 = 0.8811
  -- 2 : 1 = 0.9041
  -- 2 : 2 = 0.5987
  -- 2 : 3 = 0.5949
  -- 2 : 4 = 0.1851
  -- 2 : 5 = 0.7068
  -- 2 : 6 = 0.2633
  -- 2 : 7 = 0.7653
  -- 2 : 8 = 0.3733
  -- 2 : 9 = 0.0665
  -- 3 : 1 = 0.6657
  -- 3 : 2 = 0.8859
  -- 3 : 3 = 0.8165
  -- 3 : 4 = 0.8304
  -- 3 : 5 = 0.9334
  -- 3 : 6 = 0.0995
  -- 3 : 7 = 0.0435
  -- 3 : 8 = 0.4749
  -- 3 : 9 = 0.1507
  -- 4 : 1 = 0.4197
  -- 4 : 2 = 0.6801
  -- 4 : 3 = 0.8034
  -- 4 : 4 = 0.5901
  -- 4 : 5 = 0.7253
  -- 4 : 6 = 0.1318
  -- 4 : 7 = 0.221
  -- 4 : 8 = 0.1075
  -- 4 : 9 = 0.0453
  -- 5 : 1 = 0.838
  -- 5 : 2 = 0.9147
  -- 5 : 3 = 0.0932
  -- 5 : 4 = 0.3306
  -- 5 : 5 = 0.2823
  -- 5 : 6 = 0.7427
  -- 5 : 7 = 0.5154
  -- 5 : 8 = 0.1165
  -- 5 : 9 = 0.9272
  -- 6 : 1 = 0.9463
  -- 6 : 2 = 0.5094
  -- 6 : 3 = 0.7986
  -- 6 : 4 = 0.8545
  -- 6 : 5 = 0.5936
  -- 6 : 6 = 0.8629
  -- 6 : 7 = 0.891
  -- 6 : 8 = 0.0041
  -- 6 : 9 = 0.9783
  -- 7 : 1 = 0.0369
  -- 7 : 2 = 0.898
  -- 7 : 3 = 0.4081
  -- 7 : 4 = 0.0057
